 spain.477.o1: "NO-body expects the Spanish Inquisition!"








 idea_economic_reforms_research: "Economic Reforms"
 idea_education_reforms_research: "Education Reforms"
 SPR_european_logistics_goods: "Corredor Atlántico-Mediterráneo"
 SPR_south_logistics: "Corredor Central"
 SPR_north_logistics: "Corredor Mediterráneo"
 SPR_islands_logistics: "Corredor Atlántico"




 SPR_north_miracle_industry: "North Spanish Industries"
 SPR_north_miracle_industry_desc: "The rapid expansion of the industrial complex in Northern Spain after the war resulted into the Spainish Economic Miracle, which transformed Spain from a poor, mainly rural, nation into a major industrial power"

 SPR_focus_special_forces_1_military_school: "Legión Española"
 SPR_focus_special_forces_2_military_school: "Infantería de Marina"
 SPR_focus_special_forces_3_military_school: "Brigada Paracaidista «BRIPAC»"
 SPR_focus_air_force_military_school: "Academia General del Aire"
 SPR_focus_generic_submarine_focus: "Arsenal de Cartagena"
 SPR_focus_generic_destroyers_focus: "Arsenal de Ferrol"
 SPR_focus_generic_carrier_focus: "Arsenal de la Carraca"
 SPR_focus_generic_bomber_focus: "CASA"
 SPR_focus_generic_tank_focus: "Empresa Nacional Santa Bárbara de Industrias Militares"
 SPR_focus_generic_fighter_focus: "CASA"
 SPR_migrants_from_africa: "Illegal Immigration from Africa"
 SPR_migrants_from_africa_encouraged: "Immigration from Northern Africa encouraged"
 SPR_migrants_from_africa_limited: "Immigration from Africa discouraged"
 SPR_restore_the_currency_idea: "Restored the Peseta"


 SPR_quality_army: "Army of Quality"
 SPR_quantity_army: "Army of Quantity"
 SPR_focus_tierra_focus: "Industria Militar Española"
 SPR_focus_tierra_focus_desc: "Recent mergers between enterprises of heavy weaponry has led to the military industry and defence Spanish is one of the most important in the world. Among them are some of the main Spanish companies of the aeronautical, technological or industrial sectors who dedicated part of its activity to the production of weapons, parts or components of military. There are also companies that provide services with specific military needs."
 SPR_focus_aire_focus: "Industria Aeronaútica Española"
 SPR_focus_aire_focus_desc: "Recent mergers between aviation companies has led to the military industry and defence Spanish is one of the most important in the world. Among them are some of the main Spanish companies of the aeronautical, technological or industrial sectors who dedicated part of its activity to the production of weapons, parts or components of military. There are also companies that provide services with specific military needs."
 SPR_focus_armada_focus: "Industria Naval Española"
 SPR_focus_armada_focus_desc: "Recent concentrations among the naval companies has led to the military industry and defence Spanish is one of the most important in the world. Among them are some of the main Spanish companies of the aeronautical, technological or industrial sectors who dedicated part of its activity to the production of weapons, parts or components of military. There are also companies that provide services with specific military needs."
 SPR_modernizacion: "Modernización Española"
 SPR_modernizacion_desc: "They have undertaken numerous structural reforms which are essential monstraban for the modernization of the country. This process should ensure that Spain is located at the forefront of the developed world."
 SPR_national_research_bonus: "Consejo Superior de Investigaciones Científicas"
 SPR_national_research_bonus_desc: "The Spanish National Research Council (Spanish: Consejo Superior de Investigaciones Científicas, CSIC) is the largest public institution dedicated to research in Spain and the third largest in Europe. Its main objective is to develop and promote research that will help bring about scientific and technological progress, and it is prepared to collaborate with Spanish and foreign entities in order to achieve this aim. CSIC plays an important role in scientific and technological policy, since it encompasses an area that takes in everything from basic research to the transfer of knowledge to the productive sector. Its research is driven by its centres and institutes, which are spread across all the autonomous regions. CSIC has 6% of all the staff dedicated to Research and Development in Spain, and they generate approximately 20% of all scientific production in the country. It also manages a range of important facilities; the most complete and extensive network of specialist libraries, and also has joint research units."

 SPR_INDRA: "Indra"
 SPR_INDRA_desc: "Indra Sistemas, S.A. is a Spanish information technology and defense systems company. Indra is listed on the Bolsa de Madrid and is a constituent of the IBEX 35 index. Indra is organized around three business areas: information technologies, simulation & automatic test equipment, and defense electronic equipment. Indra's portfolio ranges from consultancy, project development, and systems and applications integration to outsourcing of IT systems and business processes. This offer is structured into two primary segments: solutions and services. Indra claims to focus on systems and solutions (including outsourcing and application maintenance), and business processes where technology is a strategic and differentiating element (BPO). Approximately a third of the company's annual revenues come from international markets. By geographical areas, Europe and the United States are the two international markets with the greatest weight and growth for Indra. Latin America is also a geographical area in which Indra is operating."
 SPR_instalaza: "Instalaza"
 SPR_instalaza_desc: "Instalaza S.A. is a company dedicated to the design, development and manufacture of equipment and material to military infantry. The company, founded in 1943, has its headquarters and production sites in Zaragoza, Aragon (Spain). The company is known for the production of bombs and rocket launchers equipping countries around the world, mainly to armed forces of Spain and Latin America."
 SPR_la_legion: "Legión Española"
 SPR_la_legion_desc: "From its origins, the Legion has always promoted a combat cult and a decrease in the relevance of death. It is intended to minimize the natural fear of dying, favoring the heroic acts necessary for their initial mission as professional shock troops. Much of this objective is covered by an indoctrination of the troops, which includes the so-called "legionary mysticism", definitively symbolized in the Legionary Creed."
 SPR_regulares: "Regulares"
 SPR_regulares_desc: "The groups of Regulares belong to the Spanish military forces created in 1911, in Africa and with indigenous personnel, whose organization was: a Tabor (name that receives a battalion in Regulares) of Infantry of four companies plus a squadron of cavalry, that were extended The following year to two Tabors of Infantry plus a Tabor of Cavalry."
 SPR_COE: "Grupos de Operaciones Especiales"
 SPR_COE_desc: "The Special Operations Groups (Spanish: Grupos de Operaciones Especiales, GOE) are the special operations forces of the Spanish Army. These units should not be confused with the similar-sounding Grupo Especial de Operaciones (GEO) and Grupos Operativos Especiales de Seguridad (GOES), two police forces, or the Spanish Navy's Unidad de Operaciones Especiales (UOE)."
 SPR_infanteria_marina: "Infantería de Marina"
 SPR_infanteria_marina_desc: "The Marine Corps is an elite amphibious operational unit within the Spanish Navy. It is the oldest marine infantry in the world, created on February 27, 1537 by King Charles I. The main functions of the Marines is their specialization in amphibious operations as well as their operation both by sea and land, this is projection Of naval power through the use of amphibious forces on a hostile or potentially hostile coast."
 SPR_BRIPAC: "Brigada Paracaidista (BRIPAC)"
 SPR_BRIPAC_desc: ""
 SPR_mountain: "Jefatura de Tropas de Montaña «Aragón»"
 SPR_mountain_desc: "It was created on January 1, 2008 integrated in the Light Forces Command to prepare and frame the mountain hunter regiments deployed along the southern foothills of the Pyrenees in Navarre, Aragon and Catalonia."
 SPR_aceralia: "Aceralia"
 SPR_aceralia_desc: "ACERALIA Corporación Siderúrgica is a Spanish steelmaker whose origin goes back to the national steel company (Ensidesa). In 1902 the company Altos Hornos de Vizcaya in Bilbao, a result of the merger of three companies was born: high furnaces of Bilbao, La Vizcaya and La Iberia. Later, in 1950, the national steel company society anonymous (Ensidesa), formed with the aim of strengthening the economic development of Spain in the Decade of the 60 is constituted in Avilés. On September 24, 1957 opens the first furnace of Ensidesa, called "Carmen", in honor to Carmen Polo, who opened it. " This resulted in the construction of new towns near the estuary of Avilés and the development of the city. Ensidesa becomes a very important steel industry after absorbing in 1973 to Uninsa where were the factory of Verina, Mieres factory and the factory of La Felguera (Duro Felguera company). In December 1994, as a result of the implementation of the Plan of competitiveness set AHV - Ensidesa, is the Group Corporation steel Integral (CSI), through the valorisation of the profitable assets, whose activities are initiated in 1995. The reorganization of CSI results in 1997 the creation of Aceralia Corporación Siderúrgica."
 SPR_INDRA: "Indra"
 SPR_INDRA_desc: "Indra Sistemas, S.A. is a Spanish information technology and defense systems company. Indra is listed on the Bolsa de Madrid and is a constituent of the IBEX 35 index. Indra is organized around three business areas: information technologies, simulation & automatic test equipment, and defense electronic equipment. Indra's portfolio ranges from consultancy, project development, and systems and applications integration to outsourcing of IT systems and business processes. This offer is structured into two primary segments: solutions and services. Indra claims to focus on systems and solutions (including outsourcing and application maintenance), and business processes where technology is a strategic and differentiating element (BPO). Approximately a third of the company's annual revenues come from international markets. By geographical areas, Europe and the United States are the two international markets with the greatest weight and growth for Indra. Latin America is also a geographical area in which Indra is operating."
 SPR_VCI_santa_barbara: "Santa Bárbara"
 SPR_VCI_santa_barbara_desc: "The arms industry in Spain date back to several centuries with factories such as the Royal Artillery Factory of Seville (founded in the year 1540 and was one of the first to melt the 24 gauge iron cannons in Spain in 1777), Oviedo's weapons factory (founded in 1794), the arms factory in Trubia (from where came out first in 1926 Spanish combat truck) or the gunpowder factory and explosives of the Fargue) founded in 1908). Empresa Nacional Santa Bárbara industries military society anonymous was formed as a company in 1960 to regroup various factories belonging until then the army and under the ownership of the National Institute of industry."
 SPR_TBP_santa_barbara: "Santa Bárbara"
 SPR_TBP_santa_barbara_desc: "The arms industry in Spain date back to several centuries with factories such as the Royal Artillery Factory of Seville (founded in the year 1540 and was one of the first to melt the 24 gauge iron cannons in Spain in 1777), Oviedo's weapons factory (founded in 1794), the arms factory in Trubia (from where came out first in 1926 Spanish combat truck) or the gunpowder factory and explosives of the Fargue) founded in 1908). Empresa Nacional Santa Bárbara industries military society anonymous was formed as a company in 1960 to regroup various factories belonging until then the army and under the ownership of the National Institute of industry."
 SPR_heavy_mechanized_equipment: "Infantry Fighting Vehicle (IFV)"
 SPR_heavy_mechanized_equipment_desc: ""
 SPR_industry_aceralia: "Heavy Industry"
 SPR_electronics_indra: "Information Technology"
 SPR_mec_pegaso: "Pegaso"
 SPR_mec_pegaso_desc: "Pegaso was the trademark of the Spanish company, ENASA (now integrated into Iveco Consortium) used in its cars and trucks. ENASA (Empresa Nacional de trucks, S.A.) was a Spanish company dedicated to the manufacture of commercial vehicles, mainly trucks, which, during the 1950s, also produced the Pegaso sports cars. With ENASA, the basis of a national car industry was based in a moment of total economic and political isolation of Spain. The needs of that time were primary: trucks, tractors, and technology. Thus, on the remains of Hispano-Suiza was born ENASA, whose priority was the production of heavy and public transport vehicles."
 SPR_light_mechanized_manufacturer: "Armoured Personnel Carrier (APC)"
 SPR_light_mechanized_manufacturer_desc: ""
 SPR_mot_pegaso: "Light Multirole Vehicle"
 SPR_inf_instalaza: "Infantry Equipament"
 SPR_art_cam_santa_barbara: "Artillery"
 SPR_CASA_light_aircraft_manufacturer: "Light Aircraft Designer"
 SPR_navantia_naval_manufacturer: "Naval Manufacturer"
 heavy_mechanized_research: "IFV Research Time"
 light_mechanized_research: "APC Research Time"
 SPR_pegaso: "Pegaso"
 SPR_pegaso_desc: "Pegaso was the trademark of the Spanish company, ENASA (now integrated into Iveco Consortium) used in its cars and trucks. ENASA (Empresa Nacional de trucks, S.A.) was a Spanish company dedicated to the manufacture of commercial vehicles, mainly trucks, which, during the 1950s, also produced the Pegaso sports cars. With ENASA, the basis of a national car industry was based in a moment of total economic and political isolation of Spain. The needs of that time were primary: trucks, tractors, and technology. Thus, on the remains of Hispano-Suiza was born ENASA, whose priority was the production of heavy and public transport vehicles."
 SPR_art_santa_barbara: "Santa Bárbara"
 SPR_art_santa_barbara_desc: "The arms industry in Spain date back to several centuries with factories such as the Royal Artillery Factory of Seville (founded in the year 1540 and was one of the first to melt the 24 gauge iron cannons in Spain in 1777), Oviedo's weapons factory (founded in 1794), the arms factory in Trubia (from where came out first in 1926 Spanish combat truck) or the gunpowder factory and explosives of the Fargue) founded in 1908). Empresa Nacional Santa Bárbara industries military society anonymous was formed as a company in 1960 to regroup various factories belonging until then the army and under the ownership of the National Institute of industry."
 SPR_EMT_1: "Staff of the Army"
 SPR_EMT_1_desc: "The largest state of the army is the first of the organs which are at the service of the head of State major of the army. Its most important purpose consist of providing information and judgment necessary for decision-making, the embodiment of these orders and the supervision of their compliance. To achieve its objectives, the largest state of the army manages many Affairs Chief of staff resolves to exercise his command over the army."
 SPR_EMT_2: "Staff of the Army"
 SPR_EMT_2_desc: "The Armed Forces Staff is the first of the organs which are at the service of the head of State major of the army. Its most important purpose consist of providing information and judgment necessary for decision-making, the embodiment of these orders and the supervision of their compliance. To achieve its objectives, the largest state of the army manages many Affairs Chief of staff resolves to exercise his command over the army."
 SPR_EMT_3: "Staff of the Army"
 SPR_EMT_3_desc: "The largest state of the army is the first of the organs which are at the service of the head of State major of the army. Its most important purpose consist of providing information and judgment necessary for decision-making, the embodiment of these orders and the supervision of their compliance. To achieve its objectives, the largest state of the army manages many Affairs Chief of staff resolves to exercise his command over the army."
 SPR_EMT_4: "Staff of the Army"
 SPR_EMT_4_desc: "The Armed Forces Staff is the first of the organs which are at the service of the head of State major of the army. Its most important purpose consist of providing information and judgment necessary for decision-making, the embodiment of these orders and the supervision of their compliance. To achieve its objectives, the largest state of the army manages many Affairs Chief of staff resolves to exercise his command over the army."
 estado_mayor_tierra_1: "Defensive Doctrine I"
 estado_mayor_tierra_2: "Offensive Doctrine I"
 estado_mayor_tierra_3: "Defensive Doctrine II"
 estado_mayor_tierra_4: "Offensive Doctrine II"
 SPR_EMA_1: "Staff of the Navy"
 SPR_EMA_1_desc: "The Navy Staff (EMA) is the Group of officers of the Navy of Spain, framed in its headquarters, meeting Organization, operations and logistics. It was created as of the Navy's Central largest State on December 24, 1902, to adapt the Organization of the defense system to the demands derived from the progress that it had experienced military technology. The disappearance of the Ministry of the Navy in 1977, was automatic tied to the new Ministry of Defense who succeeded the former. It is the body responsible for providing immediate assistance to the Minister in terms of organization, operations and logistics."
 SPR_EMA_2: "Staff of the Navy"
 SPR_EMA_2_desc: "The Navy Staff (EMA) is the Group of officers of the Navy of Spain, framed in its headquarters, meeting Organization, operations and logistics. It was created as of the Navy's Central largest State on December 24, 1902, to adapt the Organization of the defense system to the demands derived from the progress that it had experienced military technology. The disappearance of the Ministry of the Navy in 1977, was automatic tied to the new Ministry of Defense who succeeded the former. It is the body responsible for providing immediate assistance to the Minister in terms of organization, operations and logistics."
 estado_mayor_armada_1: "Military Doctrine I"
 estado_mayor_armada_1_desc: ""
 estado_mayor_armada_2: "Military Doctrine II"
 estado_mayor_armada_2_desc: ""
 SPR_EMEA_1: "Staff of the Air Force"
 SPR_EMEA_1_desc: "The Air Force Staff of Spain is the Group of officers of the army of Spain air meeting Organization, operations and logistics. It was created in September 1939, to organize the Ministry of the air by Decree of 1 September and the functions of each of its sections were set by law of 12 July 1940 (art. 3). The disappearance of the Air Ministry in 1977, was automatic linked to the new Ministry of Defense who succeeded the former. It is the body responsible for providing immediate assistance to the Minister in terms of organization, operations and logistics."
 SPR_EMEA_2: "Staff of the Air Force"
 SPR_EMEA_2_desc: "The Air Force Staff of Spain is the Group of officers of the army of Spain air meeting Organization, operations and logistics. It was created in September 1939, to organize the Ministry of the air by Decree of 1 September and the functions of each of its sections were set by law of 12 July 1940 (art. 3). The disappearance of the Air Ministry in 1977, was automatic linked to the new Ministry of Defense who succeeded the former. It is the body responsible for providing immediate assistance to the Minister in terms of organization, operations and logistics."
 estado_mayor_aire_1: "Military Doctrine I"
 estado_mayor_aire_1_desc: ""
 estado_mayor_aire_2: "Military Doctrine II"
 estado_mayor_aire_2_desc: ""
 SPR_army_art: "Campaign Artillery Command"
 SPR_army_art_desc: "The Campaign Artillery Command (MACA) is a set of units, field artillery and coast of the Spanish Army, placed under a single command and constituted, trained and equipped to be used in reinforcing the field artillery Of the units that are determined or in the framework of an operational organization and in the control and defense of coasts, according to the specific terrestrial doctrine. This command has the capacity to conduct activities derived from the specific missions that may be permanently assigned to it in the control and defense of costs. The Command is articulated in a headquarters and a set of field artillery units and Coast."
 SPR_army_artillery_2: "MACA"
 SPR_army_armor: "National Training Center «San Gregorio»"
 SPR_army_armor_desc: "The National Training Center «San Gregorio» (CENAD San ​​Gregorio) is a military training center of the Spanish Army located in the Quintana General Barracks and the San Gregorio Field and Maneuver Field, both in the Close to the city of Zaragoza (in the municipalities of Castejón de Valdejasa, Tauste, Torres de Berrellén, Villanueva de Gállego, Zuera and Zaragoza itself). It is one of two National Training Centers in Spain along with the Chinchilla National Training Center (CENAD Chinchilla). It is designed for the accomplishment of maneuvers of training, mainly armored and mechanized, facilitating facilities and means of virtual simulation. It consists of a commander, a training and evaluation group, a battalion unit and a support unit. The origin of the National Training Center "San Gregorio" is located in the Field of Tire and Maneuvers created in the area in 1910. Between 1974 and 1976 it increased its area almost to its current limits, reaching almost 34,000 hectares, with a perimeter Of 108 kilometers, incorporating in 1975 the first staff of the Military Command of the Field of Maneuvers. After several reorganizations, on January 1, 1999, the current "San Gregorio" Training Center was created from the Maneuver Field Command. The new CENAD was subject to the Direction of Teaching, Instruction, Training and Evaluation of the Command of Training and Doctrine. In 2001, the unit began to occupy the Quintana General Barracks, more suited to the new needs created by the advances that had been experienced in instruction and training."
 SPR_army_armored_2: "CENAD San Gregorio"
 SPR_army_conceal: "Air Defence Command"
 SPR_army_conceal_desc: "The Spanish Army Air Defence Command (Spanish Mando de Artillería Antiaérea, MAAA) is a specific command of the Spanish Army, composed of anti-air artillery units under a same command, formed, trained and equipped to contribute, into a joint or joint/combined frame, to the air space control and defense. Those units may act either in the national territory or as a reinforcement to allied organization based on the joint and Army specific doctrine."
 SPR_army_concealment_2: "MAAA"
 SPR_army_log: "Operational Logistic Force"
 SPR_army_log_desc: "The Operational Logistic Force (FLO) is the body of the Spanish Army's Land Force composed of a set of units under a single command, trained and equipped to provide logistical support to the units in operations. It was created in 2005, with the purpose of adapting the old regional logistic assistance to the organic transformations that the Army had experienced since the decade of the eighties. The headquarters of its headquarters is located in the Palace of Captaincy of La Coruña. Its head is exercised by a general of division or a lieutenant-general."
 SPR_army_logistics_2: "FLO"
 SPR_army_infantry: "Infantry Academy"
 SPR_army_infantry_desc: "The Infantry Academy (ACINF) is a military training center of the Spanish Army located in the city of Toledo. The center is responsible for providing basic training, specialization and training for officers and non-commissioned officers of the infantry branch of the Spanish Army. The academy was created with the name of Infantry College in Toledo, in 1850. The October 17 of 1875, after having been temporarily transferred to Madrid, settled in the Alcázar of Toledo. It disappeared in 1882 to be absorbed by the newly created Military Academy, but returned to constitute like Academy of Infantry when the General Military Academy was dissolved in 1893."
 SPR_army_infantry_2: "ACINF"
 SPR_army_commando: "Special Operations Command"
 SPR_army_commando_desc: "The Special Operations Command (Spanish: Mando de Operaciones Especiales) is the command charged with overseeing the various Special Operations Groups (Grupos de Operaciones Especiales or GOE) of the Spanish Army. It was created in 1997, following other NATO armies organization. The Spanish Army had created in the 1980s six Special Operation Groups (Grupos de Operaciones Especiales, GOE) and also had a Special Operations group in the Spanish Legion, the Bandera de Operaciones Especiales de la Legión (BOEL). Subordinate operating units are Grupos de Operaciones Especiales Valencia III, Tercio del Ampurdán IV, and Bandera de Operaciones Especiales "C. L. Maderal Oleaga" XIX de la Legión."
 SPR_army_commando_2: "MOE"
 SPR_navy_amphib_invader: "Fuerza de Infantería de Marina"
 SPR_navy_amphib_invader_desc: "The two main units of the Marine Corps, dependent on the General Commander of the Corps, are the Tercio de Armada and the Protection Force (established a maximum of 4,680 troops, being 90% of its capacity)."
 SPR_navy_amphibious_assault_3: "FIM"
 SPR_navy_fleet_log: "Intendance Corps of the Navy"
 SPR_navy_fleet_log_desc: "The Intendance Corps of the Navy is one of the Patented Corps of the Spanish Navy, having as its functions the planning and management of economic resources and advice on economic and financial matters in the Navy, administrative services, acquisition of effects , Factories of food, clothing, supplies and other logistic-economic services."
 SPR_navy_fleet_logistics_2: ""
 SPR_navy_submarine_commander: "Submarine Weapon"
 SPR_navy_submarine_commander_desc: "The Submarine Weapon, also called Flotilla of Submarines (FLOSUB), is the submarine component of the Spanish Navy since 1915. Its mission is the submarine protection of the fleet, by means of the elimination of the surface and submarine threats that can prevent the free action Of the Navy. It also has the mission of collecting intelligence, reconnaissance missions and information in advanced zones to support a Naval Force and infiltration missions on the coast of special operations commands. The future of the Underwater Weapon focuses on the new class of nationally-built submarines, the S-80s. It is a technological bet of the Spanish industry, with the conception of a ship with intelligent systems of security, weapons, sensors, satellite communication and with a revolutionary system of propulsion independent of the atmosphere, that will allow to meet the new challenges And missions that will be assigned to the submarines of the future, such as their integration with surface, air and special operations forces or the multiple roles of intelligence and surveillance in conflict zones."
 SPR_navy_submarine_2: "FLOSUB"
 SPR_navy_naval_capital_commander: "Naval Action Force"
 SPR_navy_naval_capital_commander_desc: "The Naval Action Force (FAN) is the set of means and units of the Navy whose mission is to carry out missions related to capabilities such as naval power projection, maritime security and safety, freedom of action and operational logistical support."
 SPR_navy_capital_ship_2: "FAN"
 SPR_navy_naval_screen_commander: "Maritime Action Force"
 SPR_navy_naval_screen_commander_desc: "The Maritime Action Force is made up of a group of units whose main purpose is to prepare for the protection of national maritime interests and the control of maritime areas of sovereignty and national interest, contributing to all the activities carried out by the Different public administrations with responsibilities in the maritime field."
 SPR_navy_screen_2: "FAM"
 SPR_navy_carrier_commander: "Strategic Naval Action Force"
 SPR_navy_carrier_commander_desc: "The Strategic Action Force (FANE) consists of the set of units whose main purpose is to prepare to protect national maritime interests and the control of maritime areas of national interest"
 SPR_navy_carrier_2: "FAE"
 SPR_air_airborne: "Brigada de Paracaidistas"
 SPR_air_airborne_desc: "Based in Paracuellos del Jarama (Madrid) and Murcia. At the moment it counts on three regiments, three flags and other smaller units, that act like unit of force, since its main mission is the combat within the enemy lines and not of front like a normal army."
 SPR_air_airborne_3: "BRIPAC"
 SPR_air_naval_strike: "Aircraft Flotilla"
 SPR_air_naval_strike_desc: "The Aircraft Flotilla (FLOAN) is the aerial weapon of the Spanish Navy since 1954. It is in charge of providing air support and protection to the fleet and providing air support to the Marine Corps. It is formed by eleven squadrons in total, seven of them active and four deactivated, each one equipped with a specific model of aircraft."
 SPR_air_naval_strike_2: "FLOAN"
 SPR_air_bomber_interceptor: "Defense and Air Operations Command"
 SPR_air_bomber_interceptor_desc: "The Defense and Air Operations Command (MDOA) is an auxiliary body of the Chief of the General Staff of Defense of Spain (JEMAD), integrated into the organizational structure of the General Staff of Defense as a permanent operational organization. Its objective is to plan, conduct and control the military operations of surveillance, security, control and air police of airspace under sovereignty, responsibility and interest for Spain."
 SPR_air_bomber_interception_2: "MDOA"
 SPR_air_controller: "The Combat Air Command"
 SPR_air_controller_desc: "The Combat Air Command, known by its acronym MACOM, is the unit of command of the Spanish Army of the Air that is in charge of the support and preparation of the air units for the combat, as well as of constituting the system of command and control of the Offensive activities of the Air Force. To this end, it has the possibility of operational deployment both in missions with other units of the Spanish Armed Forces and in the international arena."
 SPR_air_air_superiority_1: "MACOM"
 SPR_air_close_supporter_I: "Ala 11"
 SPR_air_close_supporter_I_desc: "In 1940 work began on the Military Aerodrome "Vázquez Sagastizábal", original name of the Base, constituting the following year the School of Chase with material Fiat CR-32 "Chirri". This School would run until 1956 when the Light Bombardment Wing was created. 7, with material Heinkel 111. Three years later this Wing of bombing was replaced by the Wing of Chase núm. 5 equipped with F-86 "Saber" aircraft. In 1970 the first F-5 "Northrop" (A.9 according to the name of the Air Force) was received, which, based on the agreements with the United States of America, had been built by Aeronautical Constructions S.A. (CASA) in his factory of Getafe, constituting in 1971 the Tactical Wing núm. 21. During these years, the Unit would be considered by the specialized press as the "most trained operational unit in Europe", having an outstanding work in the operations carried out on the occasion of the decolonization of the Sahara. In 1992, Moron C-101 (E.25) aircraft from the General Air Academy arrived in Morón to replace the recently discharged F-5s. Also in 1992, Morón P.3 "Orion" aircraft were received from Jerez de la Frontera Air Base (Cadiz), which would be incorporated as Group 22 of the Wing 21. Between 1995 and 1997 the "roosters" of Morón , At that time Group 21, "sharpen their spurs" and begin to operate the F-18 ceasing to operate the C-101 progressively. In 1996 the first eight airplanes were received, with which the Group 21 became operational in 1997. On July 30, 1999, when the Manises Air Base (Valencia) was definitively closed, the Unit was named Ala 11, receiving Its historical legacy, including the original script of the legendary García Morato. Ala 11 is then administratively dependent on the Air Command of the Strait, counting on groups 11 (F-18) and 22 (P-3 "Orion"). At this point, the Group 22, born in 1962 at the "La Parra" Air Base in Jerez de la Frontera, deserves special mention, although with the name of 601 Squadron of Aeronaval Cooperation, which until 1972 The Wing 22. It was endowed with AN-1 Grumman "Albatros" aircraft, which carried out almost 28,000 flight hours until its drop in 1978. On July 25, 1973, the first three P-3 "Orion" "Alfa" that were reinforced with other four, also of the model "Alfa" in rent system from 1978, at which time we said goodbye to the Grumman. In 1988, 5 P-3 "Bravo" aircraft were purchased from the Norwegian Air Force, replacing the 4 "Alfa" aircraft leased to the US Navy. Currently the fleet consists of 1 P-3 aircraft of the "Alfa" model (P-3A), 1 of the "Bravo" model (P-3B) and 3 P-3M aircraft (the letter M comes from "modernized" Which was received in May 2007. This modernization has significantly improved its capabilities and expands the already broad spectrum of missions in which P-3 aircraft have been used. P-3 aircraft have the capacity to perform, to a greater or lesser extent, the following missions: anti-submarine and anti-surface combat, maritime surveillance, mining, drug trafficking and illegal immigration, search and rescue, air command and control, electronic and photographic intelligence , Communications relay, etc. ... and all this can be done at great distances from the base of departure (more than 2,000 km.). Group 22 is made up of some 74 people who operate the aircraft with which it is equipped (currently P-3), which have been carried out today (January 2013), more than 69,000 hours of flight to Throughout his career, participating in numerous Multinational Exercises and in peacekeeping missions. The most important of these were to highlight those carried out in Djibouti for two years (2002-04), within the operation "Enduring Freedom", where the Unit permanently deployed a P-3B aircraft and 44 people, throughout the Some 240 missions were carried out on the maritime areas of the Red Sea, Gulf of Aden and Horn of Africa. On 20 September, the Unit deployed in Djibouti under the National Sentinel Operation against acts of piracy in Somali waters. From January 23, 2009 and to this day P3 Orión participates with an aircraft and a crew, plus its maintenance team, in the "ATALANTA OPERATION" within the framework of a United Nations resolution. To date (January 2013) a total of 443 missions and 3,741 flight hours have been carried out. As for Group 11, on 27 May 2004, the first three Eurofighter (C.16) aircraft arrived from the EADS-CASA facilities in Getafe, the first pilots to form the 113 Operational Conversion Squadron and the personnel Specialist who had made the corresponding courses of adaptation to the new aerial material. At present, it continues with the reception of new aircraft totaling 29 units delivered to the Unit. Pilots and specialists are being gradually incorporated to complete the allocations assigned to the 111, 112 and 113 Squadrons that will be in Group 11. In 2008, the alert service was activated, participating actively in air defense missions Assigned to the Air Force. At Morón Air Base, there are personnel and facilities belonging to the Second Supporting Air Support Squadron (SEADA). In addition to the units mentioned above, there is also an American presence in the Air Base since 1957; Currently, there is the 496 Air Base Squadron, USAF Logistics Support Unit. The base of Morón was, in addition, Base of support for all the flights of the space shuttle given the characteristics of the aeronautical installations and of the runway, one of the longest of Europe."
 SPR_air_air_superiority_2: "«Vista, Suerte y al Toro»"
 SPR_air_close_supporter_II: "Ala 12"
 SPR_air_close_supporter_II_desc: "Ala 12 (English: Wing 12) is an Ejército del Aire (English: Spanish Air Force) wing based at Torrejón Air Base. The wing operates McDonnell Douglas EF-18A/B Hornet fighter aircraft for air defense and international deployments under the operational and organizational command of Combat Air Command (MACOM) The squadron's motto is "no le busques tres pies..." Ala 12's first major international duty came when the wing formed the core of Detachment Icarus, Spain's air contingent of Operation Deliberate Force and Operation Allied Force. This duty was shared with Ala 15, and both rotated forces through the detachment from 1995 through 2002. 123 Squadron was disbanded in October 2002 and the operation of the RF-4C came to an end with 90,000 flight hours having been logged by the wing on the Phantom II, leaving the EF-18 as the sole equipment of the wing. In November 2003, Ala 12 flight hours on the Hornet exceeded 100,000, a total greater than that flown by any of the unit's previous aircraft types. Ala 12's Hornets were the first Spanish aircraft to undergo a mid-life update, and in 2006, 122 Squadron was recognized by NATO an operational evaluation rating of "Mission Capable". 121 Squadron was deployed to Decimomannu Air Base on the island of Sardinia in Italy with four planes to constitute Detachment Argos. They provided the initial Spanish contingent of NATO forces in Operation Odyssey Dawn, the American-led portion of the 2011 military intervention in Libya, from 19–28 March 2011. Following this, they participated in NATO's Operation Unified Protector until mid-May 2011 when relieved by 122 Squadron, which was in turn relieved by Ala 15 on 6 July 2011."
 SPR_air_close_air_support_1: "«No le busques tres pies...»"
 SPR_est_may_def: "Estado Mayor de la Defensa"
